"Author","Title","Year","File"
"С. Ш. Аязбекова","ВЕЛИКАЯ СТЕПЬ: ТЕНГРИАНСКАЯ ЦИВИЛИЗАЦИЯ И БУДДИЗМ","2023","velikaya_steppe.txt"
"А. А. Чибилёв","ГЕОГРАФИЧЕСКИЕ АСПЕКТЫ РАЗВИТИЯ ЗАПОВЕДНОЙ СИСТЕМЫ РОССИИ","2022","geograficheskiye_aspekty.txt"
"Ю.А. Лысенко","Подготовка нормативно-правового и организационно-методического обеспечения деятельности первой казахской учительской школы в Оренбургском генерал-губернаторстве","2023","kazahskaya_shkola.txt"
"И.М. Габбасова","ИЗМЕНЕНИЕ КЛИМАТА И РИСК ДЕГРАДАЦИИ ПОЧВ В ЗАУРАЛЬСКОЙ СТЕПИ РЕСПУБЛИКИ БАШКОРТОСТАН","2023","izmeneniye klimata.txt"
"О.В. Юсупова","К характеристике ценопопуляций Stipa pennata L. в Южно-Уральском заповеднике","2022","Stipa_Pennata.txt"
"Е.В. Барбазюк","О РАСПРОСТРАНЕНИИ И ГНЕЗДОВАНИИ СТЕПНЫХ ОРЛОВ (AQUILA RAPAX) НА УЧАСТКАХ ГОСУДАРСТВЕННОГО СТЕПНОГО ЗАПОВЕДНИКА «ОРЕНБУРГСКИЙ»","2009","Aquila_Rapax.txt"
"А.А. Чибилев","ОСОБЕННОСТИ РАССЕЛЕНИЯ НАСЕЛЕНИЯ ОРЕНБУРГСКОЙ ОБЛАСТИ В БАССЕЙНЕ РЕКИ УРАЛ","2022","rasseleniye_naseleniya.txt"
"М.К. Карапетян","ПИЩЕВЫЕ ТРАДИЦИИ ПО ДАННЫМ МУЛЬТИДИСЦИПЛИНАРНЫХ ИССЛЕДОВАНИЙ: СТЕПИ И ЛЕСОСТЕПИ ПОВОЛЖЬЯ И ЮЖНОГО УРАЛА В ЭПОХУ БРОНЗЫ","2023","pischeviye_tradicii.txt"
"Ю.А. Гулянов","ПРОБЛЕМЫ АДАПТАЦИИ СТЕПНОГО ЗЕМЛЕПОЛЬЗОВАНИЯ К АНТРОПОГЕННЫМ И КЛИМАТИЧЕСКИМ ИЗМЕНЕНИЯМ (НА ПРИМЕРЕ ОРЕНБУРГСКОЙ ОБЛАСТИ)","2022","problemy_adaptacii.txt"
"А.А. Выборнов","ПРОБЛЕМЫ ИЗУЧЕНИЯ ПЕРИОДИЗАЦИИ НЕОЛИТА–ЭНЕОЛИТА НИЖНЕГО ПОВОЛЖЬЯ","2023","neolit_eneolit.txt"
"Е.В. Барбазюк","СИНХРОННОСТЬ ГНЕЗДОВАНИЯ ЧАЙКОНОСЫХ КРАЧЕК (GELOCHELIDON NILOTICA) НА ОЗЕРАХ СТЕПНОГО ЗАУРАЛЬЯ","2006","gelochelidon_nilotica.txt"
"С.В. Богданов","СПЕЦИФИКА РУДНОГО ПРОТОЛИТА В МЕТАЛЛУРГИИ БРОНЗОВОГО ВЕКА СТЕПНОГО ПРИУРАЛЬЯ","2022","specifika_protolita.txt"
"С.В. Богданов","ТЕХНОЛОГИЧЕСКИЕ АЛГОРИТМЫ ПАСТУШЕСКОЙ МОДЕЛИ МЕТАЛЛОПРОИЗВОДСТВА БРОНЗОВОГО ВЕКА СТЕПНЫХ РЕГИОНОВ СЕВЕРНОЙ ЕВРАЗИИ","2020","tehnologicheskiye_algoritmy.txt"
"А.А. Чибилев","СТЕПНАЯ ЕВРАЗИЯ КАК ОБЪЕКТ ЭКСПЕДИЦИОННЫХ ГЕОГРАФИЧЕСКИХ ИССЛЕДОВАНИЙ ","2021","stepnaya_evrasia.txt"
"С.В. Левыкин","РОЛЬ АГРАРНО-СОЦИАЛЬНЫХ МЕГАПРОЕКТОВ XX ВЕКА В СУДЬБЕ СТЕПЕЙ ЕВРАЗИИ","2021","agrarnye_megaproecty.txt"
"Коллектив","Труды Заповедники Оренбуржья","2019","trudy_2.txt"
