"Type","Sentence"
"fict","- ""наемка"" у нас нынче отличная...  ""наемка"" в этих степных местах - это настоящая военная кампания, где интересы нанимателя и работника становятся лицом к лицу в совершенно откровенных формах."
"sci","– «айтуарская степь», расейкин и.и."
"sci","– «ащисайская степь») и другими сотрудниками было отмечено 12 видов рыб, что составляет 20% (из 60) ихтиофауны области (табл."
"sci","– «буртинская степь», касымов м.с."
"sci","– «таловская степь», немальцев д.г.– «предуральская степь», шпанагель в.ф."
"fict","- а может, это по степи гуляет купец, что тут похоронен, - сказал дымов."
"sci","– в кустарниковом; по мере удаления от водотока, максимальное развитие получают комплексы приручьевых луговин, образованные богатым разнотравьем и мезофитными злаками; периферийные участки долины заняты олуговевшими степями (калмыкова, 2012)."
"fict","- вольная степь."
"fict","- д-а-а... степь-матушка, - говорит один из них, как бы в объяснение и этой смутной истомы, и беспричинных остановок."
"fict","- значит тревога... я еще помню... мальчишка был... в 1845 году орда промеж себя бунтовала, потом и на нашу сторону перекинулась, побила казаков... так по этим марам от урала пошли огни... так всю степь огненными столбами перерезало... в старину, говорят, месяца не проходило... ночью огонь, днем дым над степью... тогда уж казаки кидают работу, да на коней... значит, где-нибудь орда перелезла... а вот и моя хатка... милости просим ко мне...  приветливый хуторок беспечно лежал среди степи между бурным прошлым и неведомым будущим."
"fict","- как же, как же... хорошо знал, - заговорил старик, довольный вниманием, и, оглянувшись на слушателей, прибавил с благодушной улыбкой:  - вместе сурков вылавливали в степи...  - как это?"
"fict","- келийка тут у него покамест, в амбарушке у нас... сам все больше в степи."
"fict","- когда я был станичным атаманом, - я оберегал ковыловую степь... раз, помню, приходят ко мне старики с жалобой: ""погляди-ка, василий андреевич, - плугатари ковылову степь дерут""."
"fict","-- когда я была подросткомъ-д?вочкой,-- говорила павла григорьевна: -- бывало, какъ гроза,-- я въ степь... домъ нашъ стоялъ у самой л?сной опушки... иду навстр?чу туч?..."
"fict","- крикнул возница, - граница киргизской степи!.."
"fict","— лежу я, мария, в роддоме, — рассказывала медсестра, — всем подарки несут, стараются все повкуснее, мужья у окон чуть ли не ночами дежурят, а я одна-одинешенька, как березка в степи."
"fict","— мы на орловщине, бывало, тоже так вот... — рассказывал неспешно дед, поглаживая ладонью жесткую, прогретую траву низовой степи, глядя перед собой, и лицо его, обычно жестковатое и веселое, сейчас распустилось, подобрело и каким -то рассеянным сделалось."
"fict","- несладно тоже и казачье житьишко, - сказал с невольной симпатией к своим макар егорович...  здесь нам рассказали, между прочим, странную степную новость."
"fict","- ночлег в степи  за кинделинским поселком наш маршрут изменялся: с большой дороги (или ""линии"" по-местному) мы свернули к северу, к верховьям степных речек киндели и иртека."
"fict","— они шли между стендами, и он пытался представить, как смотрят на всё это американцы или те же бельгийцы, разница несущественна — на степные эти пригорки пустоватые, на покосившиеся, бедней бедного домишки у заводей или в городских старых, больше на трущобы похожих кварталах, на храмовую азиатскую разноцветь и чужой им совершенно обиход, обряд жизни туземной отсталой… и она словно угадала, сказала, в голосе её если и была усмешка, то грустноватая: — русская классика — это кривые заборы… никто лучше наших не умеет писать старые заборы."
"fict","- опять переносные песни, - драма степного уголка  из январцева мы выехали довольно поздно, увозя с собой яркие впечатления только что выслушанных рассказов."
"sci","– период массового размножения таракана степного и снижения биоразнообразия в результате накопления ветоши и подстилки в отсутствие выпаса скота и пожаров."
"fict","- сказал мой спутник, указывая рукой на безграничную степь, уходившую далеко к горизонту... река невдалеке поворачивала и терялась за мысом, но далее, в синевших предвечернею мглою лугах долго еще сверкали ее разорванные, светлые излучины... правый берег ее (""самарская сторона"") - издавна казачий; левый, а за ним вся степь до бухары и аральского моря - киргизская сторона... над этой светлой полоской, сверкающей в зелени лугов, кипела вековая борьба и лилась кровь."
"fict","- спиритические явления в степном хуторе."
"fict","- спросил я, невольно любуясь своеобразной красотой этого степного поселка."
"fict","- страстно закончил он... - выходи, когда так, в степь... садись на коней...  - сейчас выходи в степь."
"fict","- тут уж вольна степь пошла, неделеная, - сказал мне молодой казак, высунувшийся рядом со мной в соседнее окно вагона."
"fict","- я едва разглядел старинный перекоп, - остатки рва и вала, темной разорванной линией как бы змеившиеся по степи."
"fict","""жилой осетр"" на реке не пустит парохода, нравы верблюдов противодействуют железной дороге...  что паровоз когда-нибудь изменит всю физиономию степи, раздавит, как верблюда, старинный уклад жизни и, может быть, еще раз изменит отношение казачьих потомков к самому небу, это, по-видимому, дмитрию ефимовичу полякову не приходило в эту минуту в голову...  вешка исчезла."
"sci","(в петрофитных степях) и gonioctena flavicornis suffr."
"sci","(всего 7 встреч), а по последним данным его видели и на участке «предуральская степь» у кордона сармат."
"sci","(до 1997 г. отдела степного природопользования иэриж уро ран) охватили северные и западные районы казахстана, российско-казахстанского приграничья, а также степную, пустынно- степную и лесостепную зоны юга европейской россии, заволжья, южного урала и зауралья, юга западной сибири, включая равнины и предгорной части алтая."
"sci","(моргунова и др., 2017) на западной степной периферии каргалинского рудного поля и в стенках глиняного сосуда срубной культуры середины ii тыс."
"sci","(неопубликованные данные) 11 видов низших наземных позвоночных на участке «буртинская степь» и прилежащих территориях мы в 2018 г. встретили 8 видов – чесночницу палласа, зелёную жабу, остромордую лягушку, озёрную лягушку, болотную черепаху, прыткую ящерицу, живородящую ящерицу и восточную степную гадюку; не встретили три вида – краснобрюхую жерлянку, обыкновенного ужа и узорчатого полоза (табл."
"sci","(степной заповедник…, 1996), а затем в 1995 и 1997 гг."
"sci","(чибилёв и др., 1993) и на участке «буртинская степь» (елина и др., 2016)."
"sci","), а. а. чибилёв, с. в. левыкин  среди субъектов степной зоны российской федерации оренбургская область – типично степной регион с развитым зерновым производством."
