"Автор","Название","Год","Файл"
"Аксаков С.Т.","Детские годы Багрова-внука","1858","Aksakov_Detskiye_gody.txt"
"Аксаков С.Т.","Семейная хроника","1856","Aksakov_Hronika.txt"
"Аксаков С.Т.","Записки ружейного охотника Оренбургской губернии","1852","Aksakov_Zapiski_ohotnika.txt"
"Аношкин М.П.","А как зовут дочь","1978","Anoshkin_Kak_zovut_doch.txt"
"Бадьева Э.А.","Портрет на солнечной стороне","1959","Badyieva_Portret_na_slonechnoy_storone.txt"
"Валеев Р.","Должно же быть в жизни что-то такое","1974","Valeev_Dolzhno_zhe_byt_v_zhizni_chto-to_takoye.txt"
"Гавриленко И.","Хозяин","1981","Gavrilenko_Hozyain.txt"
"Гусев-Оренбургский С.И.","Страна отцов","1905","Gusev_Strana_otcov.txt"
"Даль В.И.","Уральский казак","1843","Dal_Uralskiy_Kazak.txt"
"Короленко В.Г.","У казаков","1901","Korolenko_U_kazakov.txt"
"Краснов П.Н.","Буран","1980","Krasnov_Buran.txt"
"Краснов П.Н.","Великий город","1983","Krasnov_Velikiy_gorod.txt"
"Краснов П.Н.","Весть","1996","Krasnov_Vest.txt"
"Краснов П.Н.","Высокие жаворонки","1986","Krasnov_Vysokiye_zhavoronki.txt"
"Краснов П.Н.","День тревоги","1980","Krasnov_Den_trevogi.txt"
"Краснов П.Н.","Горечь калины","1980","Krasnov_Gorech_kaliny.txt"
"Краснов П.Н.","Заполье","2013","Krasnov_Zapolye.txt"
"Краснов П.Н.","Зарницы","1977","Krasnov_Zarnitsy.txt"
"Краснов П.Н.","Звезда моя, вечерница","2003","Krasnov_Zvezda_moya_vechernitsa.txt"
"Краснов П.Н.","Кизяк","1980","Krasnov_Kizyak.txt"
"Краснов П.Н.","Колокольцы","1992","Krasnov_Kolokoltsy.txt"
"Краснов П.Н.","На грани","1980","Krasnov_Na_grani.txt"
"Краснов П.Н.","Наше пастушье дело","1976","Krasnov_Nashe_pastushe_delo.txt"
"Краснов П.Н.","Неть","1998","Krasnov_Net.txt"
"Краснов П.Н.","Новомир","2005","Krasnov_Novomir.txt"
"Краснов П.Н.","По причине души","1978","Krasnov_Po_prichine_dushi.txt"
"Краснов П.Н.","Пой, скворушка, пой","2014","Krasnov_Poy_skvorushka_poy.txt"
"Краснов П.Н.","Рок","1995","Krasnov_Rok.txt"
"Краснов П.Н.","Сашкино поле","1978","Krasnov_Sashkono_pole.txt"
"Краснов П.Н.","Свет ниоткуда","1996-1998","Krasnov_Svet_niotkuda.txt"
"Краснов П.Н.","Теплынь","1980","Krasnov_Teplyn.txt"
"Краснов П.Н.","Шатохи","1975","Krasnov_Shatohi.txt"
"Мелешин С.","Пламя","1956","Meleshin_Plamya.txt"
"Правдухин Вал.П.","Годы, тропы, ружье","1930","Pravduhin_Gody_tropy_ruzhye.txt"
"Правдухин Вал.П.","Яик уходит в море","1937","Pravduhin_Yaik_uhodit_v_more.txt"
"Правдухин Вас.П.","На лодках по Уралу","1934","Pravduhin_Na_lodkah_po_Uralu.txt"
"Правдухин Н.П.","Жить! Как это хорошо!","1930","Pravduhin_Zhit_Kak_eto_horosho.txt"
"Прокопьева З.","Лиюшка","1968","Prokopyeva_Liyushka.txt"
"Саталкин Г.","Идея","1981","Satalkin_Idea.txt"
"Саталкин Г.","Северный свет","1981","Satalkin_Severniy_svet.txt"
"Свиньин П.П.","Картина Оренбурга и его окрестностей","1824","Svinin_Kartiny_Orenburga.txt"
"Сейфуллина Л.Н.","Из дневника охотника","1930","Seyfullina_Iz_dnevnika_ohotnika.txt"
"Толстой А.К","Два дня в киргизской степи","1842","A_Tolstoy_2_dnya_v_kirgizskoy_stepi.txt"
"Толстой А.Н.","Из охотничьего дневника","1929","Tolstoy_Iz ohotnichego_dnevnika.txt"
"Трохин В.","Женщина с ребенком","1981","Trohin_Zhenschina_s_rebenkom.txt"
"Турунтаев В.","Привет из Халилово","1979","Turuntayev_Privet_iz_Halilovo.txt"
"Усанин К.","Смирнов и Петька","1972","Usanin_Smirnov_i_Petka.txt"
"Усанин К.","Такая душа","1974","Usanin_Takaya_dusha.txt"
"Уханов И.С.","Небо детства","1981","Uhanov_Nebo_detstva.txt"
"Филиппов А.Г.","Медовые капли","1981","Filippov_Medovye_kapli.txt"
"Фролов С.","Летние каникулы","1981","Frolov_Letniye_kanikuly.txt"
"Фролов С.","Стихи","1981","Frolov_Stihi.txt"
"Шевченко Т.Г.","Близнецы","1856","Shevchenko_Bliznetsy.txt"
